Time,Prevalence,Intensity,Intensity_error
65,53.3,4.25,1.112780863
93,27.3,3.5,0.893650441
127,23.3,2.43,0.804506259
155,23.3,2.57,0.529040057
176,66.7,8.4,2.477296914
224,90,8.41,1.169173391
248,80,3.17,0.542200592
275,63.3,3.63,0.658254749
311,50,3.73,0.635726473
336,56.7,4.82,1.191769044
385,83.3,5.36,1.281099528
420,70,5.23,1.450474568
